客户编号,线索日期,项目,城市,区域,置业顾问,获客渠道,客户等级,到访日期,认购日期,签约日期,户型,成交金额,回款金额
C0474,2025-09-27,滨江悦府,杭州,滨江,顾问04,房产平台,B,2025-09-27,,,三房,,
C0210,2025-10-01,钱塘云筑,杭州,钱塘,顾问07,短视频平台,B,,,,改善四房,,
C0363,2025-10-01,云栖澜庭,杭州,余杭,顾问01,渠道中介,C,,,,两房,,
C0394,2025-10-02,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,,,,三房,,
C0491,2025-10-03,滨江悦府,杭州,滨江,顾问04,房产平台,C,2025-10-03,,,四房,,
C0453,2025-10-05,滨江悦府,杭州,滨江,顾问04,老带新,B,2025-10-08,2025-10-22,,三房,,
C0116,2025-10-06,云栖澜庭,杭州,余杭,顾问03,房产平台,B,2025-10-11,2025-10-16,2025-10-25,三房,2376000,2376000
C0290,2025-10-08,滨江悦府,杭州,滨江,顾问05,渠道中介,B,2025-10-11,,,三房,,
C0110,2025-10-09,钱塘云筑,杭州,钱塘,顾问09,自然到访,B,,,,两房,,
C0238,2025-10-09,湘湖映月,杭州,萧山,顾问12,自然到访,B,2025-10-15,2025-10-20,2025-11-04,改善四房,2210000,699000
C0261,2025-10-09,云栖澜庭,杭州,余杭,顾问01,自然到访,B,2025-10-11,,,三房,,
C0419,2025-10-09,云栖澜庭,杭州,余杭,顾问02,自然到访,C,2025-10-12,,,两房,,
C0220,2025-10-11,钱塘云筑,杭州,钱塘,顾问09,搜索广告,B,,,,四房,,
C0263,2025-10-11,湘湖映月,杭州,萧山,顾问12,自然到访,B,2025-10-15,2025-10-23,2025-10-31,三房,3371000,2218000
C0130,2025-10-12,钱塘云筑,杭州,钱塘,顾问09,房产平台,C,2025-10-13,2025-10-21,2025-10-28,四房,2076000,1584000
C0392,2025-10-12,滨江悦府,杭州,滨江,顾问06,短视频平台,C,,,,四房,,
C0098,2025-10-13,滨江悦府,杭州,滨江,顾问06,渠道中介,B,2025-10-16,2025-10-27,,两房,,
C0064,2025-10-15,钱塘云筑,杭州,钱塘,顾问07,搜索广告,B,2025-10-21,,,两房,,
C0065,2025-10-15,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,,,,三房,,
C0241,2025-10-15,滨江悦府,杭州,滨江,顾问04,自然到访,B,,,,两房,,
C0438,2025-10-16,钱塘云筑,杭州,钱塘,顾问09,渠道中介,C,,,,四房,,
C0003,2025-10-17,湘湖映月,杭州,萧山,顾问12,搜索广告,C,,,,三房,,
C0136,2025-10-17,滨江悦府,杭州,滨江,顾问06,房产平台,C,2025-10-19,,,三房,,
C0018,2025-10-18,滨江悦府,杭州,滨江,顾问04,老带新,C,,,,四房,,
C0124,2025-10-19,云栖澜庭,杭州,余杭,顾问01,老带新,B,2025-10-24,2025-11-04,2025-11-18,三房,2124000,2124000
C0218,2025-10-20,钱塘云筑,杭州,钱塘,顾问08,房产平台,C,2025-10-26,2025-11-01,,两房,,
C0505,2025-10-20,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,,,,三房,,
C0085,2025-10-21,云栖澜庭,杭州,余杭,顾问01,老带新,C,,,,三房,,
C0194,2025-10-21,滨江悦府,杭州,滨江,顾问05,自然到访,C,,,,三房,,
C0295,2025-10-21,湘湖映月,杭州,萧山,顾问10,渠道中介,B,,,,四房,,
C0068,2025-10-22,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,2025-10-23,,,三房,,
C0181,2025-10-22,湘湖映月,杭州,萧山,顾问11,房产平台,A,,,,四房,,
C0351,2025-10-22,滨江悦府,杭州,滨江,顾问04,搜索广告,B,,,,三房,,
C0464,2025-10-26,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,,,,两房,,
C0039,2025-10-28,滨江悦府,杭州,滨江,顾问04,短视频平台,C,,,,改善四房,,
C0113,2025-10-28,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,三房,,
C0235,2025-10-29,湘湖映月,杭州,萧山,顾问11,搜索广告,B,2025-11-04,2025-11-12,2025-11-18,两房,3186000,
C0305,2025-10-29,钱塘云筑,杭州,钱塘,顾问08,自然到访,B,2025-10-29,2025-11-01,,改善四房,,
C0062,2025-10-31,湘湖映月,杭州,萧山,顾问12,房产平台,C,2025-11-05,,,三房,,
C0264,2025-11-01,钱塘云筑,杭州,钱塘,顾问09,搜索广告,B,2025-11-02,,,三房,,
C0412,2025-11-02,钱塘云筑,杭州,钱塘,顾问08,自然到访,A,2025-11-02,,,三房,,
C0283,2025-11-04,滨江悦府,杭州,滨江,顾问06,自然到访,B,2025-11-05,2025-11-11,,改善四房,,
C0475,2025-11-04,云栖澜庭,杭州,余杭,顾问02,搜索广告,B,,,,两房,,
C0269,2025-11-05,云栖澜庭,杭州,余杭,顾问03,短视频平台,A,,,,三房,,
C0111,2025-11-06,云栖澜庭,杭州,余杭,顾问01,房产平台,C,,,,四房,,
C0010,2025-11-09,滨江悦府,杭州,滨江,顾问06,搜索广告,A,,,,三房,,
C0089,2025-11-09,钱塘云筑,杭州,钱塘,顾问07,搜索广告,C,,,,三房,,
C0350,2025-11-09,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,2025-11-15,2025-11-20,2025-11-30,三房,2797000,1188000
C0413,2025-11-09,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,三房,,
C0484,2025-11-09,湘湖映月,杭州,萧山,顾问11,老带新,A,2025-11-16,2025-11-28,2025-12-18,两房,3325000,564000
C0520,2025-11-10,滨江悦府,杭州,滨江,顾问05,老带新,C,2025-11-17,2025-11-20,2025-11-29,改善四房,4953000,1493000
C0179,2025-11-11,云栖澜庭,杭州,余杭,顾问03,渠道中介,B,,,,三房,,
C0251,2025-11-11,云栖澜庭,杭州,余杭,顾问01,自然到访,B,2025-11-18,,,三房,,
C0508,2025-11-11,滨江悦府,杭州,滨江,顾问05,自然到访,C,,,,四房,,
C0446,2025-11-12,滨江悦府,杭州,滨江,顾问06,自然到访,B,,,,改善四房,,
C0134,2025-11-13,滨江悦府,杭州,滨江,顾问05,渠道中介,B,2025-11-15,2025-11-27,2025-12-09,四房,3574000,
C0143,2025-11-13,钱塘云筑,杭州,钱塘,顾问08,房产平台,C,2025-11-17,2025-11-23,,两房,,
C0460,2025-11-16,钱塘云筑,杭州,钱塘,顾问07,老带新,C,,,,三房,,
C0477,2025-11-17,湘湖映月,杭州,萧山,顾问12,老带新,B,2025-11-18,,,三房,,
C0458,2025-11-19,钱塘云筑,杭州,钱塘,顾问09,搜索广告,C,2025-11-25,,,三房,,
C0479,2025-11-19,滨江悦府,杭州,滨江,顾问04,搜索广告,B,,,,三房,,
C0186,2025-11-20,滨江悦府,杭州,滨江,顾问05,自然到访,A,2025-11-22,2025-12-07,2025-12-25,改善四房,4695000,3980000
C0101,2025-11-21,云栖澜庭,杭州,余杭,顾问03,房产平台,C,,,,四房,,
C0349,2025-11-21,滨江悦府,杭州,滨江,顾问06,老带新,A,2025-11-23,2025-11-27,2025-12-11,三房,3780000,3780000
C0423,2025-11-22,湘湖映月,杭州,萧山,顾问10,短视频平台,A,,,,改善四房,,
C0106,2025-11-23,钱塘云筑,杭州,钱塘,顾问08,搜索广告,C,,,,四房,,
C0358,2025-11-25,钱塘云筑,杭州,钱塘,顾问07,渠道中介,C,2025-11-30,,,改善四房,,
C0020,2025-11-26,云栖澜庭,杭州,余杭,顾问03,老带新,A,2025-11-27,2025-12-01,2025-12-16,两房,3197000,1684000
C0250,2025-11-28,云栖澜庭,杭州,余杭,顾问03,房产平台,B,2025-12-04,2025-12-11,2025-12-26,四房,2292000,2292000
C0242,2025-11-29,钱塘云筑,杭州,钱塘,顾问08,搜索广告,C,2025-12-05,,,三房,,
C0209,2025-11-30,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,2025-11-30,2025-12-09,,两房,,
C0049,2025-12-01,滨江悦府,杭州,滨江,顾问05,搜索广告,A,2025-12-03,2025-12-07,2025-12-12,两房,3461000,3461000
C0245,2025-12-02,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,2025-12-05,2025-12-15,2025-12-28,三房,1634000,1634000
C0384,2025-12-02,云栖澜庭,杭州,余杭,顾问03,自然到访,C,2025-12-09,2025-12-19,2025-12-25,三房,2105000,1382000
C0247,2025-12-04,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,三房,,
C0190,2025-12-05,钱塘云筑,杭州,钱塘,顾问07,自然到访,B,2025-12-09,2025-12-20,2026-01-08,两房,2488000,1853000
C0095,2025-12-06,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,,,,四房,,
C0426,2025-12-07,云栖澜庭,杭州,余杭,顾问02,自然到访,B,2025-12-14,2025-12-28,,两房,,
C0427,2025-12-07,湘湖映月,杭州,萧山,顾问12,搜索广告,B,2025-12-10,,,三房,,
C0456,2025-12-07,云栖澜庭,杭州,余杭,顾问01,自然到访,B,2025-12-11,2025-12-23,,两房,,
C0478,2025-12-07,钱塘云筑,杭州,钱塘,顾问08,自然到访,B,2025-12-07,,,四房,,
C0052,2025-12-10,云栖澜庭,杭州,余杭,顾问02,自然到访,B,,,,四房,,
C0152,2025-12-11,滨江悦府,杭州,滨江,顾问06,搜索广告,B,2025-12-16,2025-12-26,2026-01-07,改善四房,3398000,
C0177,2025-12-11,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,,,,三房,,
C0454,2025-12-11,湘湖映月,杭州,萧山,顾问11,老带新,B,2025-12-13,2025-12-18,2026-01-05,三房,3736000,3409000
C0340,2025-12-13,湘湖映月,杭州,萧山,顾问12,老带新,B,2025-12-13,,,三房,,
C0345,2025-12-13,钱塘云筑,杭州,钱塘,顾问08,搜索广告,A,2025-12-14,2025-12-22,2026-01-01,四房,2581000,2413000
C0180,2025-12-14,云栖澜庭,杭州,余杭,顾问02,搜索广告,C,2025-12-17,,,三房,,
C0332,2025-12-18,钱塘云筑,杭州,钱塘,顾问08,渠道中介,C,,,,三房,,
C0366,2025-12-18,湘湖映月,杭州,萧山,顾问12,老带新,C,,,,三房,,
C0097,2025-12-19,湘湖映月,杭州,萧山,顾问12,渠道中介,B,2025-12-21,,,三房,,
C0047,2025-12-20,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,,,,三房,,
C0069,2025-12-22,云栖澜庭,杭州,余杭,顾问02,自然到访,C,2025-12-22,,,两房,,
C0006,2025-12-25,钱塘云筑,杭州,钱塘,顾问08,搜索广告,B,,,,两房,,
C0129,2025-12-25,滨江悦府,杭州,滨江,顾问05,短视频平台,B,2025-12-30,,,三房,,
C0333,2025-12-28,湘湖映月,杭州,萧山,顾问12,渠道中介,B,2026-01-01,2026-01-11,2026-01-22,三房,2881000,2108000
C0417,2025-12-28,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,两房,,
C0343,2025-12-30,湘湖映月,杭州,萧山,顾问12,房产平台,B,,,,三房,,
C0189,2025-12-31,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,三房,,
C0365,2026-01-02,云栖澜庭,杭州,余杭,顾问01,自然到访,A,2026-01-03,2026-01-06,2026-01-24,三房,3013000,1169000
C0463,2026-01-06,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2026-01-07,2026-01-17,,三房,,
C0249,2026-01-07,云栖澜庭,杭州,余杭,顾问01,自然到访,C,,,,两房,,
C0239,2026-01-08,湘湖映月,杭州,萧山,顾问11,短视频平台,C,,,,改善四房,,
C0121,2026-01-11,钱塘云筑,杭州,钱塘,顾问08,搜索广告,C,2026-01-16,,,四房,,
C0199,2026-01-11,滨江悦府,杭州,滨江,顾问04,短视频平台,B,,,,三房,,
C0219,2026-01-11,云栖澜庭,杭州,余杭,顾问03,搜索广告,A,2026-01-14,2026-01-26,2026-02-03,三房,2786000,1170000
C0416,2026-01-11,湘湖映月,杭州,萧山,顾问10,短视频平台,B,2026-01-16,,,四房,,
C0502,2026-01-11,湘湖映月,杭州,萧山,顾问11,短视频平台,C,,,,四房,,
C0053,2026-01-16,湘湖映月,杭州,萧山,顾问10,自然到访,B,2026-01-17,2026-01-26,2026-02-09,两房,2303000,819000
C0099,2026-01-18,云栖澜庭,杭州,余杭,顾问01,房产平台,C,2026-01-19,,,两房,,
C0326,2026-01-18,湘湖映月,杭州,萧山,顾问10,短视频平台,A,,,,三房,,
C0455,2026-01-19,云栖澜庭,杭州,余杭,顾问01,短视频平台,B,2026-01-19,,,四房,,
C0126,2026-01-22,钱塘云筑,杭州,钱塘,顾问09,老带新,C,,,,三房,,
C0385,2026-01-24,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,四房,,
C0377,2026-01-25,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,三房,,
C0396,2026-01-26,云栖澜庭,杭州,余杭,顾问02,房产平台,A,2026-01-31,2026-02-14,2026-02-24,三房,2651000,1574000
C0447,2026-01-26,云栖澜庭,杭州,余杭,顾问03,老带新,B,2026-01-30,2026-02-13,2026-02-27,三房,2867000,611000
C0153,2026-01-27,云栖澜庭,杭州,余杭,顾问02,搜索广告,A,,,,三房,,
C0448,2026-01-27,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,,,,三房,,
C0449,2026-01-27,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,,,,改善四房,,
C0325,2026-01-28,湘湖映月,杭州,萧山,顾问10,搜索广告,B,2026-01-29,2026-02-01,2026-02-15,三房,2446000,538000
C0019,2026-01-30,滨江悦府,杭州,滨江,顾问05,房产平台,B,,,,三房,,
C0087,2026-01-30,钱塘云筑,杭州,钱塘,顾问07,短视频平台,A,,,,四房,,
C0093,2026-02-02,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,,,,两房,,
C0409,2026-02-05,云栖澜庭,杭州,余杭,顾问01,老带新,C,2026-02-07,2026-02-19,2026-02-27,四房,2919000,577000
C0255,2026-02-06,钱塘云筑,杭州,钱塘,顾问08,渠道中介,B,,,,两房,,
C0371,2026-02-06,湘湖映月,杭州,萧山,顾问11,房产平台,B,2026-02-09,2026-02-18,2026-03-06,两房,3490000,3490000
C0331,2026-02-07,钱塘云筑,杭州,钱塘,顾问08,老带新,B,2026-02-07,2026-02-12,2026-02-26,三房,2338000,1322000
C0442,2026-02-07,云栖澜庭,杭州,余杭,顾问01,房产平台,B,,,,两房,,
C0511,2026-02-09,钱塘云筑,杭州,钱塘,顾问07,老带新,A,2026-02-16,2026-02-24,,三房,,
C0480,2026-02-10,钱塘云筑,杭州,钱塘,顾问08,房产平台,C,,,,改善四房,,
C0285,2026-02-13,云栖澜庭,杭州,余杭,顾问03,短视频平台,A,,,,改善四房,,
C0397,2026-02-13,云栖澜庭,杭州,余杭,顾问03,短视频平台,B,2026-02-15,,,两房,,
C0036,2026-02-14,湘湖映月,杭州,萧山,顾问11,渠道中介,C,2026-02-21,2026-03-04,2026-03-21,四房,2665000,1798000
C0030,2026-02-15,滨江悦府,杭州,滨江,顾问05,渠道中介,C,2026-02-20,2026-03-07,,两房,,
C0243,2026-02-16,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,,,,四房,,
C0376,2026-02-21,滨江悦府,杭州,滨江,顾问04,搜索广告,C,2026-02-26,,,改善四房,,
C0160,2026-02-22,钱塘云筑,杭州,钱塘,顾问08,渠道中介,B,2026-02-24,,,三房,,
C0074,2026-02-23,云栖澜庭,杭州,余杭,顾问01,搜索广告,C,,,,三房,,
C0076,2026-02-25,滨江悦府,杭州,滨江,顾问04,短视频平台,B,,,,改善四房,,
C0518,2026-02-25,钱塘云筑,杭州,钱塘,顾问09,房产平台,B,,,,三房,,
C0056,2026-02-26,湘湖映月,杭州,萧山,顾问12,搜索广告,B,2026-03-01,2026-03-10,,改善四房,,
C0135,2026-02-26,钱塘云筑,杭州,钱塘,顾问08,搜索广告,A,2026-03-04,2026-03-16,2026-04-04,三房,2538000,1210000
C0324,2026-02-28,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,改善四房,,
C0493,2026-02-28,湘湖映月,杭州,萧山,顾问10,渠道中介,C,,,,改善四房,,
C0041,2026-03-01,钱塘云筑,杭州,钱塘,顾问08,老带新,B,2026-03-06,2026-03-21,,三房,,
C0201,2026-03-01,钱塘云筑,杭州,钱塘,顾问07,搜索广告,C,2026-03-05,,,三房,,
C0185,2026-03-05,钱塘云筑,杭州,钱塘,顾问09,渠道中介,B,2026-03-08,,,改善四房,,
C0246,2026-03-05,云栖澜庭,杭州,余杭,顾问03,短视频平台,B,,,,两房,,
C0094,2026-03-07,滨江悦府,杭州,滨江,顾问04,房产平台,B,2026-03-09,,,四房,,
C0381,2026-03-07,云栖澜庭,杭州,余杭,顾问02,渠道中介,B,,,,三房,,
C0403,2026-03-07,云栖澜庭,杭州,余杭,顾问02,渠道中介,B,2026-03-07,,,四房,,
C0195,2026-03-09,滨江悦府,杭州,滨江,顾问06,搜索广告,B,,,,四房,,
C0107,2026-03-13,钱塘云筑,杭州,钱塘,顾问09,短视频平台,B,,,,三房,,
C0117,2026-03-13,湘湖映月,杭州,萧山,顾问12,房产平台,B,2026-03-13,2026-03-21,,四房,,
C0292,2026-03-14,钱塘云筑,杭州,钱塘,顾问08,房产平台,A,2026-03-15,2026-03-18,2026-04-01,四房,2751000,
C0445,2026-03-14,云栖澜庭,杭州,余杭,顾问03,搜索广告,C,2026-03-17,,,三房,,
C0122,2026-03-16,云栖澜庭,杭州,余杭,顾问03,搜索广告,B,2026-03-23,,,三房,,
C0231,2026-03-17,云栖澜庭,杭州,余杭,顾问03,搜索广告,C,,,,两房,,
C0289,2026-03-18,湘湖映月,杭州,萧山,顾问11,搜索广告,C,2026-03-24,,,两房,,
C0414,2026-03-18,云栖澜庭,杭州,余杭,顾问02,渠道中介,C,2026-03-20,2026-04-01,,四房,,
C0372,2026-03-19,云栖澜庭,杭州,余杭,顾问02,渠道中介,B,,,,三房,,
C0221,2026-03-20,湘湖映月,杭州,萧山,顾问11,短视频平台,C,,,,两房,,
C0035,2026-03-22,滨江悦府,杭州,滨江,顾问06,短视频平台,C,,,,两房,,
C0114,2026-03-23,湘湖映月,杭州,萧山,顾问11,短视频平台,C,,,,两房,,
C0265,2026-03-23,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,,,,三房,,
C0404,2026-03-23,滨江悦府,杭州,滨江,顾问06,房产平台,B,2026-03-27,,,三房,,
C0467,2026-03-23,云栖澜庭,杭州,余杭,顾问02,房产平台,B,,,,两房,,
C0311,2026-03-25,钱塘云筑,杭州,钱塘,顾问07,短视频平台,B,2026-03-26,,,四房,,
C0267,2026-03-26,滨江悦府,杭州,滨江,顾问05,短视频平台,C,,,,四房,,
C0353,2026-03-27,钱塘云筑,杭州,钱塘,顾问08,搜索广告,C,,,,四房,,
C0125,2026-03-28,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,2026-03-28,,,三房,,
C0496,2026-03-31,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,,,,四房,,
C0476,2026-04-01,云栖澜庭,杭州,余杭,顾问01,老带新,B,2026-04-06,,,改善四房,,
C0510,2026-04-02,钱塘云筑,杭州,钱塘,顾问08,老带新,C,,,,四房,,
C0421,2026-04-03,湘湖映月,杭州,萧山,顾问10,搜索广告,C,,,,四房,,
C0173,2026-04-04,湘湖映月,杭州,萧山,顾问12,短视频平台,A,,,,三房,,
C0144,2026-04-05,云栖澜庭,杭州,余杭,顾问03,渠道中介,C,,,,四房,,
C0457,2026-04-05,钱塘云筑,杭州,钱塘,顾问07,老带新,A,2026-04-08,,,三房,,
C0328,2026-04-06,滨江悦府,杭州,滨江,顾问04,搜索广告,B,,,,三房,,
C0322,2026-04-09,滨江悦府,杭州,滨江,顾问04,短视频平台,C,,,,三房,,
C0011,2026-04-10,湘湖映月,杭州,萧山,顾问10,短视频平台,B,,,,四房,,
C0026,2026-04-12,钱塘云筑,杭州,钱塘,顾问08,自然到访,A,2026-04-16,2026-05-01,2026-05-19,四房,2374000,2137000
C0123,2026-04-13,钱塘云筑,杭州,钱塘,顾问08,渠道中介,B,2026-04-16,2026-04-21,,两房,,
C0323,2026-04-13,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2026-04-19,,,改善四房,,
C0330,2026-04-13,云栖澜庭,杭州,余杭,顾问03,自然到访,C,2026-04-16,,,三房,,
C0029,2026-04-14,滨江悦府,杭州,滨江,顾问04,短视频平台,B,,,,两房,,
C0137,2026-04-14,湘湖映月,杭州,萧山,顾问10,渠道中介,B,,,,三房,,
C0273,2026-04-14,滨江悦府,杭州,滨江,顾问04,老带新,B,2026-04-18,,,三房,,
C0298,2026-04-14,云栖澜庭,杭州,余杭,顾问03,自然到访,A,2026-04-14,2026-04-17,2026-04-30,三房,2888000,1412000
C0481,2026-04-14,云栖澜庭,杭州,余杭,顾问02,渠道中介,B,,,,三房,,
C0155,2026-04-16,钱塘云筑,杭州,钱塘,顾问09,搜索广告,B,2026-04-23,,,改善四房,,
C0211,2026-04-18,钱塘云筑,杭州,钱塘,顾问07,自然到访,B,,,,三房,,
C0422,2026-04-20,湘湖映月,杭州,萧山,顾问12,短视频平台,B,2026-04-25,,,四房,,
C0088,2026-04-24,钱塘云筑,杭州,钱塘,顾问08,老带新,C,2026-05-01,2026-05-05,2026-05-13,三房,2174000,690000
C0339,2026-04-25,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,,,,两房,,
C0369,2026-04-26,湘湖映月,杭州,萧山,顾问11,房产平台,C,2026-04-27,,,两房,,
C0470,2026-04-26,云栖澜庭,杭州,余杭,顾问02,搜索广告,A,2026-05-01,2026-05-12,2026-05-19,三房,2549000,1959000
C0302,2026-04-27,钱塘云筑,杭州,钱塘,顾问07,短视频平台,B,2026-05-02,,,三房,,
C0355,2026-04-27,钱塘云筑,杭州,钱塘,顾问07,房产平台,C,,,,三房,,
C0213,2026-04-28,云栖澜庭,杭州,余杭,顾问01,搜索广告,B,2026-05-04,2026-05-19,2026-06-05,三房,3071000,
C0005,2026-04-29,滨江悦府,杭州,滨江,顾问05,短视频平台,B,2026-05-03,2026-05-11,2026-05-18,四房,4985000,4985000
C0133,2026-04-29,云栖澜庭,杭州,余杭,顾问02,搜索广告,C,2026-04-29,2026-05-09,,三房,,
C0139,2026-04-29,云栖澜庭,杭州,余杭,顾问01,短视频平台,A,2026-05-06,2026-05-13,2026-05-27,三房,1982000,
C0067,2026-04-30,湘湖映月,杭州,萧山,顾问11,房产平台,A,2026-05-01,2026-05-06,2026-05-23,四房,3098000,1819000
C0109,2026-05-01,湘湖映月,杭州,萧山,顾问12,短视频平台,B,,,,三房,,
C0178,2026-05-01,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,,,,三房,,
C0286,2026-05-01,滨江悦府,杭州,滨江,顾问06,自然到访,B,2026-05-06,2026-05-09,,两房,,
C0383,2026-05-03,钱塘云筑,杭州,钱塘,顾问07,短视频平台,B,,,,三房,,
C0120,2026-05-05,云栖澜庭,杭州,余杭,顾问02,自然到访,A,2026-05-11,,,四房,,
C0015,2026-05-06,滨江悦府,杭州,滨江,顾问05,搜索广告,C,,,,四房,,
C0024,2026-05-07,钱塘云筑,杭州,钱塘,顾问09,渠道中介,C,2026-05-13,2026-05-28,,三房,,
C0252,2026-05-07,云栖澜庭,杭州,余杭,顾问01,搜索广告,B,,,,四房,,
C0509,2026-05-07,湘湖映月,杭州,萧山,顾问11,房产平台,C,2026-05-08,2026-05-20,2026-06-05,三房,2317000,2017000
C0225,2026-05-08,钱塘云筑,杭州,钱塘,顾问08,房产平台,B,2026-05-14,2026-05-18,,四房,,
C0495,2026-05-08,滨江悦府,杭州,滨江,顾问06,搜索广告,C,,,,改善四房,,
C0512,2026-05-08,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,两房,,
C0205,2026-05-09,滨江悦府,杭州,滨江,顾问06,渠道中介,A,2026-05-16,,,改善四房,,
C0280,2026-05-09,云栖澜庭,杭州,余杭,顾问01,老带新,C,,,,两房,,
C0016,2026-05-12,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,2026-05-16,2026-05-25,2026-06-13,两房,2490000,493000
C0431,2026-05-12,滨江悦府,杭州,滨江,顾问06,短视频平台,A,,,,四房,,
C0112,2026-05-15,云栖澜庭,杭州,余杭,顾问01,自然到访,B,2026-05-21,,,三房,,
C0492,2026-05-15,钱塘云筑,杭州,钱塘,顾问08,搜索广告,A,,,,三房,,
C0503,2026-05-15,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,四房,,
C0021,2026-05-17,滨江悦府,杭州,滨江,顾问06,渠道中介,C,2026-05-23,2026-06-04,,四房,,
C0436,2026-05-17,湘湖映月,杭州,萧山,顾问12,渠道中介,C,2026-05-24,2026-06-06,2026-06-15,三房,3622000,2416000
C0045,2026-05-18,钱塘云筑,杭州,钱塘,顾问09,渠道中介,C,,,,三房,,
C0202,2026-05-18,滨江悦府,杭州,滨江,顾问05,短视频平台,B,,,,四房,,
C0494,2026-05-18,滨江悦府,杭州,滨江,顾问06,渠道中介,B,2026-05-22,2026-06-02,,三房,,
C0081,2026-05-19,滨江悦府,杭州,滨江,顾问06,自然到访,C,2026-05-26,,,三房,,
C0415,2026-05-19,湘湖映月,杭州,萧山,顾问12,搜索广告,A,,,,三房,,
C0373,2026-05-21,云栖澜庭,杭州,余杭,顾问03,自然到访,B,2026-05-25,2026-06-07,2026-06-21,三房,1905000,442000
C0193,2026-05-23,云栖澜庭,杭州,余杭,顾问03,自然到访,B,2026-05-23,2026-06-07,2026-06-17,三房,1882000,730000
C0262,2026-05-23,钱塘云筑,杭州,钱塘,顾问07,房产平台,C,,,,两房,,
C0164,2026-05-25,钱塘云筑,杭州,钱塘,顾问08,房产平台,C,2026-06-01,2026-06-05,,三房,,
C0233,2026-05-27,钱塘云筑,杭州,钱塘,顾问08,渠道中介,B,,,,四房,,
C0486,2026-05-28,钱塘云筑,杭州,钱塘,顾问07,房产平台,B,2026-06-01,2026-06-08,2026-06-23,四房,2479000,1996000
C0127,2026-05-30,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,,,,三房,,
C0248,2026-06-05,滨江悦府,杭州,滨江,顾问05,渠道中介,B,2026-06-12,,,改善四房,,
C0096,2026-06-06,云栖澜庭,杭州,余杭,顾问01,短视频平台,C,,,,两房,,
C0196,2026-06-06,滨江悦府,杭州,滨江,顾问06,房产平台,B,,,,四房,,
C0459,2026-06-06,钱塘云筑,杭州,钱塘,顾问07,房产平台,A,2026-06-13,,,两房,,
C0374,2026-06-08,湘湖映月,杭州,萧山,顾问12,房产平台,B,2026-06-11,,,四房,,
C0063,2026-06-09,湘湖映月,杭州,萧山,顾问12,房产平台,B,2026-06-12,2026-06-22,,改善四房,,
C0012,2026-06-12,钱塘云筑,杭州,钱塘,顾问08,短视频平台,C,,,,三房,,
C0308,2026-06-12,钱塘云筑,杭州,钱塘,顾问07,房产平台,A,2026-06-15,2026-06-30,,三房,,
C0407,2026-06-12,滨江悦府,杭州,滨江,顾问04,渠道中介,A,2026-06-19,,,两房,,
C0469,2026-06-12,云栖澜庭,杭州,余杭,顾问02,房产平台,B,,,,两房,,
C0393,2026-06-13,滨江悦府,杭州,滨江,顾问04,自然到访,B,2026-06-19,,,三房,,
C0499,2026-06-14,云栖澜庭,杭州,余杭,顾问02,短视频平台,B,,,,三房,,
C0278,2026-06-15,钱塘云筑,杭州,钱塘,顾问07,老带新,C,2026-06-22,2026-06-30,,三房,,
C0215,2026-06-18,滨江悦府,杭州,滨江,顾问05,自然到访,B,2026-06-25,,,两房,,
C0375,2026-06-22,云栖澜庭,杭州,余杭,顾问03,房产平台,C,2026-06-27,2026-06-30,,四房,,
C0162,2026-06-23,滨江悦府,杭州,滨江,顾问05,短视频平台,B,,,,三房,,
